# 枫语幕词库 1.0 - 冒险岛国际怀旧服专用
# 生成日期：2026-08-12
# 主数据：https://mxdgcw.dvg.cn/（当前GCW资料ID与中英文名）
# NPC补全：https://meowdb.com/msclassic/（按同一NPC ID对齐）
# 技能中文：https://mxd079.dvg.cn/（仅对GCW当前技能ID进行中文名匹配）
# 格式：英文原文<Tab>中文翻译<Tab>分类#资料ID
MapleStory Classic World	冒险岛怀旧世界	怀旧服-界面
MapleStory	冒险岛	怀旧服-界面
Level	等级	怀旧服-界面
Experience	经验值	怀旧服-界面
EXP	经验	怀旧服-界面
HP	生命值	怀旧服-界面
MP	魔法值	怀旧服-界面
Strength	力量	怀旧服-界面
Dexterity	敏捷	怀旧服-界面
Intelligence	智力	怀旧服-界面
Luck	运气	怀旧服-界面
Attack	攻击力	怀旧服-界面
Magic Attack	魔法攻击力	怀旧服-界面
Defense	防御力	怀旧服-界面
Accuracy	命中率	怀旧服-界面
Avoidability	回避率	怀旧服-界面
Inventory	背包	怀旧服-界面
Equipment	装备	怀旧服-界面
Use	消耗	怀旧服-界面
Setup	设置	怀旧服-界面
Etc.	其他	怀旧服-界面
Cash	现金	怀旧服-界面
Quest	任务	怀旧服-界面
Skill	技能	怀旧服-界面
Party	组队	怀旧服-界面
Guild	家族	怀旧服-界面
Friend	好友	怀旧服-界面
Channel	频道	怀旧服-界面
Trade	交易	怀旧服-界面
Shop	商店	怀旧服-界面
Buy	购买	怀旧服-界面
Sell	出售	怀旧服-界面
Confirm	确定	怀旧服-界面
Cancel	取消	怀旧服-界面
Accept	接受	怀旧服-界面
Decline	拒绝	怀旧服-界面
Next	下一步	怀旧服-界面
Back	返回	怀旧服-界面
Exit	退出	怀旧服-界面
Options	选项	怀旧服-界面
World Map	世界地图	怀旧服-界面
Mini Map	小地图	怀旧服-界面
Monster	怪物	怀旧服-界面
Item	道具	怀旧服-界面
Reward	奖励	怀旧服-界面
Required Level	需要等级	怀旧服-界面
Available	可接取	怀旧服-界面
Complete	完成	怀旧服-界面
In Progress	进行中	怀旧服-界面
Quest Complete	任务完成	怀旧服-界面
Quest Started	任务已开始	怀旧服-界面
Party Quest	组队任务	怀旧服-界面
Character Info	角色信息	怀旧服-界面
Ability Points	能力值点数	怀旧服-界面
Skill Points	技能点数	怀旧服-界面
Mesos	金币	怀旧服-界面
Meso	金币	怀旧服-界面
Cash Shop	商城	怀旧服-界面
Beginner	新手	怀旧服-职业#0
Warrior	战士	怀旧服-职业#100
Fighter	剑客	怀旧服-职业#110
Page	准骑士	怀旧服-职业#120
Spearman	枪战士	怀旧服-职业#130
Magician	魔法师	怀旧服-职业#200
